category,picture,title,link,product_id,price,color,brand
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/8fb7cb50bd0d44529103a4e501353144_9366/classic-leather.jpg",Classic Leather,https://www.reebok.com/us/classic-leather/101.html,101,75,White,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/48a90c3fd6b84946b41aa5e20134fc42_9366/classic-leather.jpg",Classic Leather,https://www.reebok.com/us/classic-leather/116.html,116,75,Black,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/702c2c5adb424c1299a0a3d1018602fd_9366/npc-ii.jpg",NPC II,https://www.reebok.com/us/npc-ii/1354.html,1354,75,White / White,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/f348d589dec34197b584a625012c78f0_9366/workout-plus.jpg",Workout Plus,https://www.reebok.com/us/workout-plus/2759.html,2759,80,White / Royal,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/da272035639e4748b5aca61800556d79_9366/workout-plus.jpg",Workout Plus,https://www.reebok.com/us/workout-plus/2760.html,2760,80,Black / Charcoal,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/3088577e7c924b068971a62b015b7742_9366/ex-o-fit-hi.jpg",EX-O-FIT HI,https://www.reebok.com/us/ex-o-fit-hi/3477.html,3477,85,White,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/8bcd578ba8724d76a27fa64701411fae_9366/ex-o-fit-hi.jpg",EX-O-FIT HI,https://www.reebok.com/us/ex-o-fit-hi/3478.html,3478,85,Black,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/8184fbb639f94192a176a5af001a839a_9366/classic-nylon.jpg",Classic Nylon,https://www.reebok.com/us/classic-nylon/36088.html,36088,65,Platinum / Blue,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/125ef7102b264da0adcda3d1018801a9_9366/classic-nylon.jpg",Classic Nylon,https://www.reebok.com/us/classic-nylon/39749.html,39749,65,Team Navy / Platinum,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/f13a23cef0254142a8d2a3d1018906fe_9366/classic-leather.jpg",Classic Leather,https://www.reebok.com/us/classic-leather/49797.html,49797,75,White / Gum,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/c556951a3ca34baca46ea3d101899af1_9366/classic-leather.jpg",Classic Leather,https://www.reebok.com/us/classic-leather/49798.html,49798,75,Black / Gum,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/8cc9dd72db0f4aa7a233a4a9010cfb39_9366/classic-nylon.jpg",Classic Nylon,https://www.reebok.com/us/classic-nylon/6390.html,6390,65,White / Light Grey,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/5ab22d0124db43e69c94a3d1018ae6f7_9366/workout-low.jpg",Workout Low,https://www.reebok.com/us/workout-low/63978.html,63978,80,White / Gum,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/977d7297dd7044eeb832a3d1018b7c9e_9366/classic-nylon.jpg",Classic Nylon,https://www.reebok.com/us/classic-nylon/6604.html,6604,65,Black / White,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/2299c76740404a66a257a3d200019f13_9366/npc-ii.jpg",NPC II,https://www.reebok.com/us/npc-ii/6836.html,6836,75,Black,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/32a8dbfb22324c5e827da4a9010d2bab_9366/classic-leather.jpg",Classic Leather,https://www.reebok.com/us/classic-leather/9771.html,9771,75,White / White / Grey,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/789fbd5c1c4048edb672a5cb0152b3ba_9366/club-c-85.jpg",Club C 85,https://www.reebok.com/us/club-c-85/AR0454.html,AR0454,70,Black / Charcoal,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/7b69fecaec0e42ac9665aa940119519b_9366/club-c-85.jpg",Club C 85,https://www.reebok.com/us/club-c-85/AR0455.html,AR0455,70,White / Sheer Grey,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/5addd566849d40798a7ca5b500099bf9_9366/club-c-85.jpg",Club C 85,https://www.reebok.com/us/club-c-85/AR0456.html,AR0456,70,White / Green,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/fbd3819cff634317b5a9a5cb01532162_9366/club-c-85.jpg",Club C 85,https://www.reebok.com/us/club-c-85/AR0457.html,AR0457,70,White / Navy,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/5729e26f21c942929e4faa9501709ebd_9366/club-c-85.jpg",Club C 85,https://www.reebok.com/us/club-c-85/AR0458.html,AR0458,70,Black / White / Gum,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/4af5de1e461241cca813aa95016fc3f6_9366/club-c-85.jpg",Club C 85,https://www.reebok.com/us/club-c-85/AR0459.html,AR0459,70,White / Royal / Gum,Reebok
Men Casual,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/bb7126a8e5f04f9a918ca5d8006a7a5e_9366/reebok-cloudride-dmx.jpg",Reebok CloudRide DMX,https://www.reebok.com/us/reebok-cloudride-dmx/AR2752.html,AR2752,79.99,Black / Alloy / Riot Red / White,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/77ffea7c170b42d389c5a644015f77e9_9366/exofit-lo-clean-logo-int.jpg",EXOFIT LO CLEAN LOGO INT,https://www.reebok.com/us/exofit-lo-clean-logo-int/AR3168.html,AR3168,75,Black / Silver / Silver,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/b76e0fa4c0a24f3bbf60a64401607943_9366/exofit-lo-clean-logo-int.jpg",EXOFIT LO CLEAN LOGO INT,https://www.reebok.com/us/exofit-lo-clean-logo-int/AR3169.html,AR3169,75,White / Royal Blue / Royal Blue,Reebok
Men Training,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/cdfffb9975b04094b86daa8e01654a6d_9366/reebok-legacy-lifter.jpg",Reebok Legacy Lifter,https://www.reebok.com/us/reebok-legacy-lifter/BD1793.html,BD1793,200,White / Black / Pewter,Reebok
Men Training,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/86d00c21a05441a3aac2a6a40159ac4e_9366/reebok-crossfit-nano-6.0-covert.jpg",Reebok CrossFit Nano 6.0 Covert,https://www.reebok.com/us/reebok-crossfit-nano-6.0-covert/BS5107.html,BS5107,120,Black / Reebok Rubber Gum / White / Pewter,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/5188908b366744269fdca7ac017aa7e5_9366/club-c-85-rad.jpg",Club C 85 RAD,https://www.reebok.com/us/club-c-85-rad/BS5151.html,BS5151,80,Skull Grey / Bright Emerald / Radical Pink / Chalk,Reebok
